Movie Name,Storyline,Rating
2571. Space Sharks,"A military experiment conducted on a space station goes horribly wrong, sending a new breed of weaponized sharks to earth with only one mission: destroy everything in their path.",1.5
2572. Challenger,N/A,5.6
2573. Once Upon a Time in Madras,"A gun that is accidentally discovered, and what happens because of that to four different characters and their lives.",5.7
2574. Kattapadathe Mandrikan,N/A,8.3
2575. The Village Next to Paradise,"A newly formed family confronts challenges while pursuing individual goals and facing the intricacies of modern life, relying on love, trust, and resilience to guide them.",6.6
2576. Game On,"When a hyper dimensional crack arises between our reality and the game world, the best gaming players in the Netherlands must enter the game world to save their country.",2.5
2577. Al otro barrio,"Trying to deceive the Treasury has been too tempting an option for Andrés, but he did not expect to get caught. He and his employees reluctantly move to Los Caños, which is not as bad as they expected--It's worse.",5.2
2578. Adopted,"A couple's hopes of adopting the perfect child unravel as their new son reveals a dark side, bringing terror into their lives.",4.2
2579. Exorcism Chronicles: The Beginning,"An excommunicated priest helps his monk friend protect a powerful boy from an evil master, forcing him to confront his past.",6.2
2580. Remnant,"A tragic accident, a fractured mind, a body healed by an experimental technology. A young woman becomes supernaturally linked to the horrors of her past. Haunted, hunted, harrowed, she must uncover the truth in order to be free.",2.6
2581. Out of Control,A marriage is threatened when the husband's first love comes back to town.,5.5
2582. Extremely Unique Dynamic,"During their final weekend together, two best friends test the limits of their friendship while making a triple-meta film.",7.2
2583. Messy,"Follows the life of brutally self-aware, promiscuous, love addict Stella Fox, who moves to New York after a devastating breakup, and all her disappointing romantic dalliances over the course of a summer.",5.1
2584. The Code,"Follows the misadventures of a sexless couple, as their relationship falls into shambles in the early part of the pandemic.",6.0
2585. Voditel-oligarkh,"The 40-year-old rich man is very fond of arguing. Once again, he bet that he would work for a month as a driver for a bitch actress who fires employees after three weeks. Gradually, the characters begin to change and fall in love with each other.",4.5
2586. They Will Be Dust,"After receiving the diagnosis of an incurable brain tumor, Claudia decides to undertake her last trip to Switzerland. There she can decide how and when to end her life thanks to the help of an assisted suicide association.",6.6
2587. Within the Pines,"As sound recordist Sam Evans treks through an isolated forest, his mic picks up a sound no one wants to hear while alone in the woods.",4.4
2588. Perfect Endings,"João and Hugo end their 10-year relationship but stay best friends. As they start dating again, uncontrollable emotions arise, contrasting the planned perfection of their breakup.",5.5
2589. Lollipop,"Molly, a young woman released from prison, struggles to regain custody of her children. When she bumps into her childhood friend Amina the two women soon realize their only chance is to join forces and take destiny into their own hands.",6.8
2590. Bhoothaddam Bhaskar Narayana,"In a small town in southern India, a rash of unsolved murders over the past 18 years has left the region shrouded in mystery. Despite repeated efforts, local police have failed to find any explanation or suspect.",6.1
2591. Junction,"Junction addresses the modern day opioid crisis in America, and asks how did this happen, from three different points of view. The CEO of a pharmaceutical company, a doctor, and a patient.",5.2
2592. I Heart Willie,"In this horrific origin story of the most beloved cartoon character of modern times, an obsessed fan of Steamboat Willie leads her friends into a deadly mousetrap where pure evil seeks to harvest their skin.",3.2
2593. Bangkok Dog,The story focuses on an American agent sent to a dangerous undercover mission in Thailand to dismantle a sadistic crime lord.,4.6
2594. I soliti idioti 3: Il ritorno,"A decade since their last escapades, the beloved idiots face contemporary challenges with the trademark irreverent humor fans cherish.",4.7
2595. Don't Mess with Grandma,"A drunk Army ranger must fight off the vicious robbers who plan to loot the cabin belonging to his sweet, oblivious grandmother.",5.5
2596. Vixen,"At an international security tech conference, Liu Yang-the only Asian woman delegate-faces bias from foreign execs and a sudden terrorist attack. Alone and resolute, she thwarts the assailants and averts the crisis.",5.2
2597. Cortina Express,"Lucio is trying to stop his nephew's (Andrea) marriage with Patrizia's daughter, also Patrizia is trying to sell her indebted record label to Dino. The story is set in Cortina where Dino' daughter (Giorgia) falls in love with Gennaro",5.0
2598. Who'd Believe It?,"Nadine is a wealthy girl who met the young man Basem and liked him. She later discovered that he had defrauded her, even though she had fallen in love with him. She joined him in his scams against the rich to help the poor.",6.3
2599. Transmitzvah,A famous Yiddish singer returns to her childhood neighborhood in Buenos Aires to confront her family and her past.,4.4
2600. Her Drunken Diary,"A young wife battles alcoholism while raising a child amid tension with her overbearing mother-in-law, straining her marriage and self-esteem.",6.2
2601. See You Yesterday,"Sergey and Anya are on the verge of divorce. Over the course of several years of family life, they managed to get deeply into each other. Anya, not unreasonably, considers Sergey a goofball, unsuitable for family life. Sergey is fed up with his wife's constant irritability; he is sure that Anya didn't behave like that before and was more fun. The couple are going to go to the registry office to put an end to the relationship, but fate decrees otherwise. Every time the couple leaves the house, they miraculously return to the apartment. And this is not the only strange thing. It's winter on the calendar, summer outside, and the eternal clock says 8:45. And in this new reality they will have to somehow get along.",6.0
2602. First Taste,"Yuna, a woman engaged with her long time boyfriend, Nicco, starts to have second thoughts when she meets again her first love, Becca. Now she is torn between the man she loves and the woman she first loved.",4.0
2603. Buzzheart,"Driven by deep concern for their fragile daughter, her parents subject her boyfriend to shockingly intense and brutal tests, pushing the boundaries of his love to its absolute limits.",5.5
2604. Heartbreak Motel,"At a quiet motel, a rising star in the film industry must confront her past as she navigates her flourishing career and delicate personal relationships.",7.0
2605. The Stoic,"It follows a group of mercenary leaders in a country retreat after pulling off a raid on a drugs gang. Things take a turn for the worse after they raise the attentions of 'The Stoic', a man from an ancient clan of smugglers.",3.6
2606. Daye: Seret ahl el Daye,"Daye, an 14-year-old Nubian albino with a golden voice, faces adversity due to his unique appearance. Abandoned by his father and bullied by peers, he dreams of following his idol, Mohamed Mounir.",7.5
2607. 6 in the Morning,"Sara has been accepted for PhD in philosophy at a Cnadian university. She is about to leave by plane at 6 AM. Her friends, however; invite her to their home for one last party together. when it seems good, things take an unpleasant turn.",4.0
2608. Anathema,"Juana descends into the catacombs of Madrid in search of the mythical Seal of San Simeon, accompanied by a priest, a novice and an exorcist. They will face supernatural forces and secrets that threaten to unleash an ancient evil.",4.1
2609. Kudi Haryane Val Di,"A Punjabi man uninterested in wrestling falls for a Haryanvi woman passionate about the sport. He strives to embrace her love for wrestling, to win her heart.",6.3
2610. Snow Valley,"A newly engaged couple's ski weekend goes horribly awry, when an unexpected guest arrives and the house's dark supernatural forces begin to rise.",2.8
2611. Con Job,"A selfish narcissist and his cash-strapped best friend hire a corrupt notary to swindle his estranged brother. After the notary dies in a freak accident, their elaborate scheme goes off the rails.",5.7
2612. Never Escape,"A group of IT trainees having a party in the midsummer , drugs - police - chase and ended up in a haunted theatre and dies eventually .",8.6
2613. The Firefighters,"Cheol Woong, a newcomer, is assigned to Rescue Unit of the Fire Station in Seoul. Soon, he is sent to his first mission with Jin Seop, a veteran fireman working with a glorious title; the man who saved the highest number of people in the fire. While being overwhelmed by fierce fire and pouring smoke, Cheol Woong witnesses that Jin Seop forces to search the occupant contrary to the chief's withdrawal order. Just before the fire gobbles up the building, Jin Seop manages to escape with a girl in his arms, but a colleague loses the life. Cheol Woong's fear becomes an anger against Jin Seop, and blames him for his colleague's death. When their conflict is still at the peak, they're called for another fire scene which changes their fate for good.",5.7
2614. Salliyargal,"Set against the Tamil Eelam war backdrop, the story follows brave doctors working in an underground bunker, risking their lives to save both allies and enemies. As they battle danger, moral dilemmas, and relentless chaos with their valor.",8.2
2615. Who by Fire,"Seventeen-year-old Jeff stays at film director Blake Cadieux's wilderness lodge after being invited by friend Max's family. When strange events occur, Jeff suspects something is amiss with the director and his retreat.",6.5
2616. Midas,"After a charismatic college dropout lies his way into a job at an insurance juggernaut, he recruits his two best friends for a plot to steal thousands. In the process, they uncover a much darker scheme that tests the limits of their greed.",4.7
2617. The Girl in the Trunk,"Kidnapped bride trapped in trunk uses phone to attempt escape, facing poisonous wildlife. Failed attempt costs a life. Stranded in desert heat, she plays deadly game over phone to identify kidnapper and survive.",3.4
2618. Kotee,"In corrupt Janatha city, honest Kotee defies gang leader Dinoo Saavkaar to secure future for sister. But defiance leads to debts, forcing life-altering choice: eliminate or be eliminated.",6.3
2619. Ahl Al Kahf,"The film deals with a fictional framework, the story of three people who wake up from their sleep after three centuries, and find themselves in a time other than the time in which they lived before, and they live in a struggle with time.",5.2
2620. Le panache,"A dramatic comedy adapted from the play ""Being Cyrano"" that tells the story of a boy who takes refuge in an imaginary world to escape the violence of his father.",6.3
2621. I'm Not Everything I Want to Be,Czech photographer seeks freedom after 1968 Prague Spring suppression. Undertakes long journey to break from repressive regime's constraints.,7.7
2622. This Is Not a Christmas Movie,"Approaching Christmas, a family confronts relationship issues: marital tensions, workplace attraction, gender identity crisis, and open relationship dynamics, converging at their annual holiday reunion.",6.2
2623. Fakt Purusho Maate,"Patriarch resurfaces from the afterlife, disrupting his grandson's nuptials and upending the family dynamics with an unanticipated complication.",6.8
2624. From Darkness to Light,"Explores Jerry Lewis' unreleased 1972 film ""The Day The Clown Cried"", its mysterious disappearance, and the search for footage. Includes interviews with Lewis' associates and previously unseen production content.",7.3
2625. Vithaikkaran,Revolve around smuggling and how protagonist is given the charge to retrieve certain withheld goods.,4.5
"2626. To Live, to Die, to Live Again","A potential love triangle between Emma, Sammy, and Cyril is shattered by the emergence of the AIDS crisis. Expecting the worst, each character's destiny takes an unexpected path.",6.5
2627. Deadbolt,"Seeking a fresh start, a young woman finds her sanity on the brink due to unexplained disappearances and chilling nocturnal echoes in her new home.",4.5
2628. Lyod 3,"Aleksandr is a coach of the Irkutsk hockey club. He takes to the team Sergey, a talented player with a scandalous reputation. Aleksandr's daughter, Nadya, accidentally crosses paths with Sergey, they quickly fall in love. Nadya is preparing for the main competition in her life, the Ice Cup in Moscow, and Sergey is invited to the NHL in Canada. Aleksandr doesn't believe in the sincerity of feelings and insists on breaking off the relationship. Lovers face a choice: a great sports career in different countries or personal happiness?",5.9
2629. Phil Herman's Unearthed,"This anthology intricately interlaces four compelling tales, each orbiting individuals who unravel hidden, lost, or long-guarded secrets. Brace yourself for an exhilarating odyssey of discovery and suspense as ""Unearthed"" plunges deep beneath the surface to unveil mysteries concealed for far too long.",5.8
2630. Dosen Ghaib: It's Nighttime or You Already Know,Four students had to take a short semester while other students were on holiday. At first these students were not suspicious during class.,4.1
2631. Demise,"A scorned wife plots a vengeful, devious path to motherhood and redemption after her husband abandons her for his pregnant mistress.",4.2
2632. Invader,"A young woman arrives in the Chicago suburbs and begins to suspect that something terrible has happened to her missing cousin, but soon realizes that her greatest fears don't even begin to scratch the surface.",4.7
2633. The Family Business,"The Family Business is a Dark, Dramatic, Horror, Thriller where tensions rise among a twisted family of psychopaths who set out to create a very unique snuff film of epic proportions.",5.6
2634. Sailing Home,"Passionate about sailing, Jean-Paul passes a difficult pass. He accumulates debts and moves away from his own. Determined to take his life into his own hands, he enrolled in Virtual Regatta the virtual race of the Vendée Globe. He puts himself in the conditions of a real skipper by insulating himself for 3 months on his boat in his garden - This trip like no other, will allow him to reconnect with his family but above all with himself.",6.4
2635. Government Gangsters,"Government conspiracy to undermine President Trump and his supporters, exposing corruption, deceit, and betrayal within the system meant to protect democracy.",3.9
2636. Strike: An Uncivil War,"The Miners' Strike of 1984/85 was the most divisive, violent industrial dispute Britain has ever witnessed. With personal testimony, formerly hidden government documents and unseen archive, STRIKE tells the story of the Battle of Orgreave",7.6
2637. September Babies,"In a world controlled by a shadow organization, how far must you tap into your own darkness to balance the scales?",4.6
2638. Munda Rockstar,"Sunny is a gifted singer and talented musician but he ends up in jail for a crime he didn't commit. Yuvi the Rockstar is invited to perform for the inmates, where he meets Sunny and ends up stealing his song.",6.1
2639. Held Hostage in My House,A single mother becomes trapped inside her own vacation rental and must piece together clues from the various guests who have stayed there in order to figure out who assaulted her and hopefully survive.,4.3
2640. Blood'less' Revolution,"In 1974, a group of men lost their lives in what is still called today the Bloodless Revolution of Portugal.",6.6
2641. A New Year's Ride,"Two years after the events of ""The Christmas Ride,"" Georgia is back to drive passengers safely but this time for New Year's Eve. With an entertaining slew of strangers, she finds herself revisiting an old flame which complicates everything",8.4
2642. Passages of Nexus,An off the wall horror anthology of a detective on a hunt for a sadistic and crazed killer who targets web based formats. In a cat and mouse chase of horror that'll get under your skin,4.9
2643. Before We Forget,"An Argentinian filmmaker struggling to finish a movie about his unrequited first love receives an unexpected invitation to reconstruct his memories, revisit his past and perhaps even find a new ending to his story.",7.1
2644. Finalement,Lawyer suffering from a condition preventing him from lying takes a cross-country road trip in France. Musical fantasy blending trumpet and piano. Original Ibrahim Maalouf soundtrack.,5.5
2645. Garbo: Where Did You Go?,"An urgent, timely and compelling portrait of Hollywood icon Greta Garbo, whose fame, isolation and loneliness still captures us.",5.9
2646. 9 Windows,"After a tragic accident that killed her parents, Liza is unable to walk and spends her days trolling vloggers. When she witnesses a murder online, the police dismisses it as a hoax, and it's up to Liza to find the killer.",3.7
2647. Dead Wrong,A narcissist concocts a get-rich-quick scheme that ignites a violent chain reaction and overwhelms the lives of those around him.,3.8
2648. Swede Caroline,"In this British Mockumentary, the competitive giant vegetable growing world is rocked by scandal when up-and-coming prospect Caroline has her prized marrow plants stolen.",5.1
2649. Becoming Hitchcock: The Legacy of Blackmail,"Exploring Hitchcock's iconic style through his early film ""Blackmail,"" an insight into the director's emerging techniques and themes during the transition to talkies, showcasing elements that would define his later masterpieces.",7.2
2650. Table for Six 2,Three brothers marry on the same day and an eccentric group of family members attend.,5.4
2651. Free Falling,The perfect life of a strict and tough rhythmic gymnastics teacher of competition begins to escape out of her hands.,5.2
2652. Jurnal Risa by Risa Saraswati,Risa is known to have supernatural abilities that enable her to communicate with supernatural beings. This film will present horror events packaged like Paranormal Activity.,4.4
2653. Udan Chhoo,"Udan Chhoo is a Gujarati Movie starring Deven Bhojani, Prachee Shah Paandya, Aarohi and Aarjav Trivedi in prominent roles.",7.3
2654. Cocaine Werewolf,"Cocaine, Cash and a Crew filming a horror movie in the mysterious woods of northern Pennsylvania clash when an unexpected visit from a Werewolf literally enters the picture.",2.4
2655. Diane von Furstenberg: Woman in Charge,"Focuses on the life and work of Von Furstenberg, who created a name for herself in a field that was predominantly male and amassed a multi-million dollar fashion empire.",7.2
2656. Seeds,"A Mohawk woman is hired as a social media influencer but gets caught in a deadly cat-and-mouse game, as she's forced to go to war to preserve her people's heritage from corporate interests.",5.0
2657. Haunted Universities 3,"Three separate stories of haunting events in Thailand's universities. Jao Nang, Phee Take and The Invisible Shrine.",5.4
2658. Ghost Planet,A group of astronauts venture to a mysterious planet to claim the find of the century.,4.8
2659. Martin liest den Koran,Can a professor of Islamic Studies prove that the Quran forbids violence to a madman with a bomb named Martin?,7.5
2660. Broken Bird,"Sybil works at an undertaker's. It's a lonely job, with few perks. So she takes solace where she can.",5.0
2661. 12 to Midnight,"A detective, despondent after the murder of his wife and forced to resign, is brought back to the force when a serial killer appears to be taunting him and turns out to be superhuman.",3.7
2662. Eno,"A generative documentary about artist Brian Eno, with 52 quintillion possible iterations, so that no viewing is the same twice.",7.9
2663. Chris Brown: A History of Violence,"Explore the biographical film that delves into the controversial personal life of Chris Brown, an iconic singer while exploring allegations of domestic violence, assault charges and sexual misconduct.",5.4
2664. Maxxie LaWow: Drag Super-shero,"A shy barista's life transforms when a magic wig turns him into drag queen Maxxie LaWow, tasked with finding missing queens held by Dyna Bolical who wants their anti-aging tears.",6.8
2665. Kiskisan,"Steamy tale of love, lust, and betrayal. When Adele's sister Bea returns with her girlfriend Cheska, a secret affair begins between Cheska and Adele's boyfriend, Rener, leading to a climactic ending when they're caught.",5.2
2666. Something to Stand for with Mike Rowe,"Join America's favorite storyteller on an epic journey to the heart of Washington DC. This cinematic tour de force will take viewers to the frontlines of the American Revolution, World War II, the Civil Rights movement, and more.",8.5
2667. Never Look Away,"CNN camerawoman Margaret Moth fearlessly captures footage of war zones. A Sundance premiere featuring Christiane Amanpour, directed by Lucy Lawless.",7.2
2668. Shooting My Life's Script,"During the school year, Fani's mother insists she participate in a selection for an exchange program. She gets first place and is soon forced to face her feelings and internal conflicts after she falls in love with someone unexpected.",6.2
2669. Manorajyam,"Married to a Malayali bride, a Melbourne businessman's life transforms after testing her fidelity upon discovering his friend's infidelity. Can he embrace trust or risk losing everything?",5.3
2670. Long Story Short,"Over the past 3 years, Ellen, Annette, Rolf, Sebastian and Mareike celebrated, faced defeats and changes together. As their friendship is tested, they ponder life's essentials and most importantly, question their true selves.",6.7
2671. Unfruitful Times,"After a tragic miscarriage, Nimet -a middle aged woman- gets stuck in the conservative society in Istanbul while her beloved younger sister Öznur carries a burden of her own in the family, trying to struggle her own demons.",6.3
2672. Easter Bloody Easter,A woman must protect her small town from the Jackalope and his army of devilish bunnies as they embark on a murder spree over the Easter weekend.,3.3
2673. Ismo - maailman hauskin ulkopuolinen,"The film tells the partial cinematic autobiography of Ismo Leikola (b. 1979) from a kid to a standup comedian, who has won money but lost his love Angelika. Will he be the next Lenny Bruce, George Carlin or Sam Kinison whom we'll remember?",7.1
2674. Shri Swapankumarer Badami Hyenar Kobole,"Kolkata is at risk from Badami Hyena. Dipak Chatterjee, a forgotten detective created by Shri Swapankumar, faces a complex mission. Can he save the city and himself?",5.5
2675. Three Men for Vilma,"Vilma Veierød lives alone. She shuns social media and worries too much - most of all about death. One day, the handsome priest Ivar and the pathologist Robert appear on her doorstep with a letter and the news of her fathers passing.",6.3
2676. Between Borders,"The incredible true story of an Armenian family forced to flee their home during the collapse of the Soviet Union, and embark on a journey to find a community to call their own.",6.1
2677. That Kind of Love,"Two imperfect people, a love coach and a conceited executive, strike a deal where she must find him a match. As they learn about each other, love blossoms between them unknowingly.",5.8
2678. Complotul Bonelor,"Virgil is a successful Romanian businessman. However, in the realm of emotions, things are not as one might expect. Following three marriages, he has ended up with nine children whom he is raising with the help of three nannies.",3.2
2679. Adrienne Iapalucci: The Dark Queen,"Comedian Adrienne Iapalucci takes aim at our public figures, awkward tribute tattoos, virtue signaling and more in this unfiltered stand-up special.",6.5
2680. Gam Gam Ganesha,"During a Ganesh Chaturthi celebration, small-time thief Ganesh attempts a major heist that goes awry, leading to a comical clash with Rudra and his boss Kishore Reddy, who are also searching for a valuable item amidst the festive chaos.",5.3
2681. Miss Boots,"When an orphaned girl loses her grandmother, her uncle, a one hit wonder opera composer, needs to take care of her until a foster family is found, while also struggling to finish his next big hit.",7.0
2682. Hahacar,Hahacar is a situational suspense comedy film that takes you on a ride filled with chaos and drama packed into one night's story.,6.5
2683. Gatao: Like Father Like Son,Ambitious drug dealer Michael and his brother Scorpion find themselves drafted into their father's turf war as rival gangs compete in Dingzhuang.,5.6
2684. Renee Gracie: Fireproof,Australia's first female V8-Star Renee Gracie attempts to re-enter racing after being pushed out of the sport and becoming Australia's top earner on OnlyFans.,6.2
2685. Salsa,"A student on the run from a bad employer comes to a remote island to harvest tomatoes, but there awaits a team of goofy people, one true love and a fight for his life.",5.7
2686. Songs of Slow Burning Earth,Reflective observations of Ukraine in wartime are interwoven with eye-witness accounts to contemplate the ultimate tragedy: the normalization of war.,7.6
2687. Head South,"In 1979, Angus, with his father's support, discovers the underground post-punk music scene in Christchurch, New Zealand, overcoming self-doubt, derision, and a family tragedy to perform.",6.6
2688. Edge of Night,"Sinan, a young lieutenant in the Turkish army, is asked to hand over his brother Kenan to a military court. Burdened by the tragic death of their father, both brothers embark on a journey through a land marked by political unrest. As they confront their beliefs, Sinan's convictions are put to the ultimate test on the night of the coup.",5.9
2689. El Roomie,"Struggling writer Vivi takes in mysterious roommate Ro, but soon suspects Ro is hiding a dark secret.",5.8
2690. Leydi Di,"""Leydi Di"" takes its name from the famous nightclub where the events take place. The main character Nevzat Kesik (Mahir Ipek) is known as an honest financial advisor. However, he is drawn into a fraud plan by his adopted son and accountant Güven (Safa Sari). Güven takes action to defraud Nevzat's customer Aziz (Celil Nalçakan) with his great love Maya (Bestemsu Özdemir). However, when the residents of the Leydi Di Pavilion where Maya works and Aziz's creditors step in, events spiral out of control. The film will leave viewers in a web of intrigue between the right and wrong, the mafia and the police. In this fraudulent scheme that revolves around the dark corners of Leydi Di, the answers to questions such as who will get the big loot and how Nevzat will prove his innocence await viewers. ""Leydi Di"" will present an exciting production to the world of cinema by skillfully blending drama and tension.",3.7
2691. The Experts,"Five siblings who have abandoned their thieving days are forced out of retirement to carry out their biggest heist yet, at the cost of everything they hold dear.",6.2
2692. Bachelor Party,"In a bid to escape his attempts of pleasing his obnoxious wife,Santosh attends a Bachelor Party. He's reunited with his childhood friend who has always brought trouble.With their school teacher tagging along,the trio embark on an adventure",5.2
2693. Flaminia,"Flaminia, a wealthy Roman girl, is set to marry a diplomat's son when her autistic half-sister Ludovica barges into her life, exposing Flaminia's superficial existence. As they reconnect, an unexpected event threatens their newfound bond.",5.4
2694. Love Kills,Infidelity comes to an abrupt end when the cheating lovers are caught.,4.7
2695. Eight Postcards from Utopia,"A collage of vintage Romanian TV ads weaves an unexpected narrative about society's transformation, exploring themes of mortality, spirituality, and the shift from communism to free markets.",6.3
2696. Fanon,Fanon's progressive methods at Blida hospital spark criticism. His humane patient care angers staff. FLN's Ramdane recruits him. He and wife Josie join Algeria's independence fight.,6.3
2697. The Stepdaughter,"A teen moves in with birth father and new family, planning revenge on stepmom. Seeking retribution for mom and grandma's deaths, she aims to get close to dad and remove obstacles.",5.2
2698. A Journey,"Refusing treatment for her cancer, a woman goes on a road trip across Tasmania to check off items on her bucket list with her husband and best friend.",5.7
2699. Chateau,"While on a French vacation funded by odd jobs, an aspiring influencer covertly films a vlog in a reportedly haunted chateau she's been hired to clean.",4.1
2700. Invited,"When a reluctant mother attends her daughter's Zoom elopement, she and the rest of the family in attendance quickly realize the groom is part of a Russian cult with deadly intentions.",5.2
2701. The Exiles,"Evicted from their city life, a widowed woman and her daughter embark on rebuilding their future by embracing long-forgotten rural ties.",6.3
2702. Gracie and Pedro: Pets to the Rescue,A pampered show dog and a street-smart alley cat embark on a thrilling journey to find their family after being separated during a cross-country move.,5.0
2703. Dalej jazda!,"The story of elderly, lovable couple. He decides to fulfill his wife dream and take her on a sentimental journey on their own terms. The preparations and the trip itself bring closer the entire family closer.",5.8
2704. Finding Faith,"Victoria, a Christian advice columnist writing under the name Faith, begins to lose her faith after a series of life events. On her journey back to God, she also finds her way back to love.",6.9
2705. (Pri)sons,"When an underground marketplace of illegal activities is besieged by an army of bloodthirsty assassins, a ragtag group of criminals must band together to fight for survival.",4.7
2706. Karataka Dhamanaka,A jailer sends two fraudsters to his village to convince and get his adamant father to the city. But the frauds do something extraordinary than the task.,4.7
2707. Espantaho,"The story of Monet and her mother Rosa, who are mourning over the death of the family patriarch Pabling. During the nine days of pasiyam, dark secrets and a malevolent plot start to unravel.",4.9
2708. Dengeler,"Victory in the ring, revenge on the street! Ferit must defeat both his enemies and his destiny.",5.2
2709. Suffocating Love,"A man believes he has found the love of his life when he meets a girl who seems to be the right kind of quirky. However, when her terrifyingly controlling personality eventually surfaces, he makes a desperate choice.",6.1
2710. Do Not Open,"After arguing with her parents a distraught teen opens an email promising acceptance, but what the message delivers infects the whole family.",2.5
2711. A Merry Royal Christmas,"A high-powered wedding planner is pulled in at the last minute to plan a royal wedding set for Christmas Day. She meets a handsome stranger, who she is shocked to later discover is the prince whose sisters wedding she is planning.",5.1
2712. This Is Benjamin Ingrosso: Part 1,"This is Benjamin Ingrosso follows Benjamin from his early years as a child star to his current pursuit, of becoming Sweden's first international pop star.",6.3
2713. The North Witch,"Five women embark on a search for a cabin that mysteriously went missing 60 years ago. They soon realize that watching them is a sinister, demented being. Can they survive the horrors of The North Witch, or is death the better way out?",4.2
2714. The Yin Yang Master Zero,"During the Heian period, Seimei Abe trains in magic but lacks interest, until a collaboration with Hiromasa Minamoto arises to solve a strange phenomenon.",5.7
2715. Paani,A drought-stricken village becomes the backdrop as a commoner fights adversity and local goons to transform the place into a self-sufficient haven.,7.8
2716. Girl in the Video,"Explores the tale of Mo, a widow who is doing her best to raise her two teenagers.",5.5
2717. Rose Rosy Te Gulab,"Gulab, discontented with his single life, embarks on a manifestation journey advised by friends, finding himself torn between Rose and Rosy. His choice will determine his romantic future.",5.8
2718. Salt Water,"A man reconnects with the priest who abused him as a boy and wrestles with the feelings of aversion, lust, and affection that are awakened in him as a result.",6.8
2719. This Life of Mine,"Barbie, once an attractive, devoted mother and partner, faces newfound challenges as she turns 55, descending into darkness, violence, and absurdity while grappling with her identity, relationships, and life's complexities.",5.4
2720. Drone,"Émilie, a young student, works as a cam-girl at night to make ends meet. One evening, a mysterious drone appears at her apartment window. From then on, whenever Emilie is alone, the drone appears and follows her.",5.4
2721. Jurassic Triangle,A group of colleagues crash land on a mysterious island that they cannot escape. They discover they are not alone when they encounter an array of blood thirsty creatures and dinosaurs out to get them. Will they survive the island?,2.3
2722. Pool & Party,"In a world where everyone falls in love with your money, falls in love with your house, falls in love with the car under your feet, someone is found and falls in love with you.",2.7
2723. Wineville,"A woman who fled her abusive father's vineyard as a teenager returns after his death. She uncovers the family's dark secrets, which have festered, leading to violence and death, as she settles the estate.",4.3
2724. 37: The Shadow and the Prey,"A trucker transporting a woman called Thirty-Seven grows suspicious of her strange behavior, until it's revealed he may not be as blameless as he seems.",5.7
2725. Rita,"Rita, a 13-year-old girl, runs away from her abusive father to the big city. She finds solace until she's placed in a safe house run by the State. Rita and her cellmates plot an escape that ends in a shocking act of violence.",5.8
2726. Hitler,A hero with a genuine background involved with the political murders. What is the reason behind this that's the Story.,5.3
2727. Code Duello: From the Tithebanner Saga,"(PILOT) A cosmic tragedy following a cataclysmic collision of galaxies. Two survivors navigate the strange new world in which they find themselves, searching for a place in society in order to survive and build a new life together.",8.8
2728. Oru Kadha Parayum Neram,At the time of a small story telling.,7.3
2729. Sorop,"Revolves around siblings Hanif and Isti returning to their hometown after their uncle's death, where they experience supernatural events involving his reappearance.",5.3
"2730. Düsseldorf, Skåne","The year is 1986. Fredrik and Nina are passionate about synth music. Fredrik's synth band is about to play its first gig but during the most important weekend in Fredrik's life, everything is put to the test.",5.3
2731. Here & There,"A visa problem forces Adrien back to Paris after 15 years in Senegal with his wife Aminata. Her cousin Sékou, distanced from his Senegalese origins, takes him in. As Adrien waits to return, Sékou shows him France, sparking surprises.",5.3
2732. Hunting Season 2,"Eva, facing job loss and personal challenges, sees a job opportunity in organizing Bella's bachelorette party. The weekend goes awry, but Eva must navigate career, love, and friendship amid chaos.",4.2
2733. Thekku Vadakku,"Two rivals, a retired engineer and rice mill owner, engage in a fierce competition. Their feud entertains the town as they battle to determine the ultimate victor and whether the loser accepts defeat gracefully.",3.8
2734. Night Silence,"Lucjan is admitted to a nursing home, where he is welcomed by the residents and staff. Everything is fine, there are no dark secrets hidden in the basement, no strange, malevolent creatures. Don't worry about it. Everything - is - fine..",5.5
2735. The Matriarch,"A thirteen year old girl kills her addict mother's boyfriend in self-defense, and is subsequently terrorized by her own mother.",5.9
2736. Lyubov Sovetskogo Soyuza,"The film is about a generation of brave and beautiful people who did not see the destruction of the revolution and the chaos of the civil war, who dreamed of building a new life in which there would be no place for death, but only incredible love that opens the way for them to great achievements and discoveries. About exploits and glory, betrayal and loyalty of those who were heroes in heaven and on earth. About the time of immense trials that fell on their short but bright lives. About a woman who was the dream and true love of the Soviet Union.",5.1
2737. Butchers Book Three: Bonesaw,"Three women find themselves being hunted by a vicious killer who slaughters people and hacks them up in his van, while a clever sheriff pieces together the clues he's leaving behind.",4.5
2738. My Late Summer,"When Maja arrives on a remote island to resolve the issue of family inheritance, she doesn't expect to stay there longer than she planned.",6.1
2739. The Cursed Land,A widower and his daughter travel's to Thailand's deep south to seek help from a Muslim doctor after unleashing a djinn in a rundown house.,5.4
2740. PAPmusic - Animation for Fashion,"The new fashion house PAPmusic, based in Milan, is working on its upcoming collection. Within the company, the Commercial Director (Him) and the Fashion Designer (Her) now find themselves in an uncomfortable romantic situation.",1.3
2741. Feminist Fathima,"A housewife in coastal Kerala sparks quiet rebellion after trying to replace a mattress, challenging patriarchy through small acts of resistance in her journey toward self-liberation.",7.6
